,Metric,Distance_Metric,Regress_Output
0,0.0858108108108,0.445744066734,0.398828873921
1,0.144322997992,0.385114646704,0.361834391568
2,0.18109709906,0.326370349929,0.338583870633
3,0.25035397091,0.288067127181,0.294796033484
4,0.322185430464,0.219130592092,0.249380406572
5,0.342400690846,0.203848511141,0.236599255678
6,0.345249917246,0.210928411503,0.234797824885
7,0.34549474848,0.235812813884,0.234643029701
8,0.367852604828,0.297940274859,0.220507216942
9,0.380862646566,0.170338525393,0.212281584255
10,0.396179305539,0.179069275119,0.202597586828
11,0.429874776386,0.187315980445,0.181293537848
12,0.43044635297,0.144586162225,0.180932157068
13,0.430754066042,0.182682956357,0.180737604679
14,0.434713375796,0.15702005692,0.178234320801
15,0.438703616721,0.273398965633,0.17571148061
16,0.439250060872,0.19312608042,0.175365989876
17,0.440800132253,0.142138707793,0.174385953218
18,0.445252441305,0.136845797864,0.171570969254
19,0.44779771615,0.240062161457,0.169961712621
20,0.451630434783,0.168494764394,0.167538466308
21,0.466124109868,0.125321398805,0.158374802583
22,0.468658655408,0.122250012336,0.15677232958
23,0.46870051726,0.142240406176,0.156745862316
24,0.470007423905,0.134742912995,0.155919567194
25,0.475536149994,0.148176970611,0.152424015761
26,0.475787855496,0.152878603968,0.152264874304
27,0.478211009174,0.18608219649,0.150732829096
28,0.481035620053,0.122035875074,0.14894696153
29,0.482052896725,0.11506368816,0.148303785711
30,0.484776024231,0.152676754868,0.146582081271
31,0.485186610235,0.187952771918,0.146322487203
32,0.486914681375,0.10563959662,0.145229909736
33,0.487604998976,0.128153955933,0.144793454639
34,0.489247311828,0.156591329919,0.143755098072
35,0.489817310572,0.160317741988,0.143394714885
36,0.490522515294,0.106351070015,0.142948847368
37,0.490685952224,0.135463343267,0.142845513944
38,0.491114149009,0.277414474977,0.142574785414
39,0.493457337515,0.136445897102,0.141093298394
40,0.494182389937,0.108923626962,0.140634882117
41,0.496569984354,0.140962825334,0.139125319344
42,0.502806640392,0.110183974886,0.135182177362
43,0.502823677055,0.0956775432095,0.135171405887
44,0.509926854754,0.181529362855,0.130680403334
45,0.510325345802,0.0884471980231,0.130428456334
46,0.511568692572,0.0876273814047,0.129642347108
47,0.512459371614,0.220430506359,0.12907921297
48,0.513948717949,0.10086243782,0.128137569881
49,0.516974947319,0.11929062563,0.1262242285
50,0.51795529498,0.127115228994,0.125604401144
51,0.518589132507,0.109383351948,0.125203655721
52,0.521931441209,0.0687940854986,0.123090472361
53,0.52426031369,0.105020221429,0.121618036685
54,0.524294321926,0.0908154429836,0.121596534889
55,0.524413660678,0.0871351527553,0.121521082653
56,0.524609148813,0.101055691255,0.121397484772
57,0.525009127419,0.115421090717,0.121144597259
58,0.526315789474,0.104882978278,0.120318456781
59,0.528941390277,0.115199468316,0.118658413852
60,0.52948421863,0.0842658979129,0.118315209216
61,0.530739430689,0.168790417613,0.11752159813
62,0.530926533704,0.225836014398,0.117403301763
63,0.533164648473,0.091380739584,0.115988247886
64,0.533882629897,0.109918961173,0.115534302265
65,0.534327651515,0.115528903611,0.115252936191
66,0.53491465307,0.0863423992008,0.114881802933
67,0.535180572852,0.0905104855189,0.11471367446
68,0.535602037499,0.0829079846698,0.114447202342
69,0.536264847106,0.156975850719,0.114028139246
70,0.536492054149,0.124942530732,0.113884487003
71,0.536819991154,0.156202958223,0.11367714798
72,0.537033699766,0.0822406978553,0.113542030155
73,0.542430414121,0.111017363869,0.110129943484
74,0.542455381287,0.1261787436,0.110114157928
75,0.544309113818,0.129215207377,0.10894213072
76,0.546691228567,0.0835985623057,0.107436032481
77,0.551454843179,0.105903817934,0.104424224767
78,0.554713804714,0.115501914224,0.10236373787
79,0.555195134313,0.083127669697,0.102059415981
80,0.556674075042,0.081671070573,0.101124351863
81,0.5568391299,0.0755991325075,0.1010199955
82,0.558276744963,0.109402150779,0.100111059642
83,0.558592354412,0.0876863424222,0.0999115147478
84,0.560269659293,0.0882315882253,0.0988510343794
85,0.56522880392,0.13161823055,0.0957156023057
86,0.565294715447,0.0943717379007,0.0956739295715
87,0.566077602766,0.0795581446026,0.0951789470302
88,0.566363636364,0.0852702923027,0.0949981015448
89,0.566974441322,0.105940615502,0.0946119185233
90,0.567516820529,0.0885750105428,0.0942689978606
91,0.569393042191,0.118794988498,0.0930827518406
92,0.571559023742,0.102862013226,0.0917133043781
93,0.571715548413,0.13879713713,0.0916143412482
94,0.5724513785,0.0922738857464,0.0911491107641
95,0.573102394294,0.0781139257922,0.0907375043371
96,0.574099407205,0.0791469366443,0.090107140334
97,0.574763147055,0.179071707636,0.0896874890895
98,0.576055811636,0.0846765755927,0.0888701985499
99,0.576539020843,0.0690809102943,0.0885646882735
100,0.576947377922,0.0848511876004,0.0883065034494
101,0.579230450972,0.144012210315,0.0868630245824
102,0.579326490185,0.0726718893663,0.0868023035405
103,0.58001614606,0.0934636957976,0.0863662668219
104,0.581661303876,0.0352161345343,0.0853261115188
105,0.582571895739,0.0998627027603,0.0847503874478
106,0.582694823397,0.0538792296904,0.0846726661167
107,0.585574572127,0.114508740321,0.0828519375009
108,0.587173646399,0.0989491998461,0.0818409186382
109,0.589308578745,0.0501584549262,0.0804911021161
110,0.590462206333,0.069221115564,0.0797617180766
111,0.592100783112,0.08770207256,0.0787257236513
112,0.592462546816,0.0904034958324,0.0784969976096
113,0.595529359431,0.0915366490185,0.0765579973665
114,0.597219156919,0.083616699713,0.0754896185149
115,0.597392638037,0.122861746118,0.0753799346273
116,0.599914839259,0.0810366350329,0.0737852663523
117,0.600346839035,0.112752085056,0.0735121333717
118,0.600706224469,0.0539001098031,0.0732849109974
119,0.60071942446,0.0472599801836,0.0732765652688
120,0.601438063166,0.112751544734,0.07282220408
121,0.601719637648,0.0967975985549,0.0726441778822
122,0.602091101153,0.0,0.0724093191162
