,Metric,Distance_Metric,Regress_Output
0,0.602091101153,0.0,0.0272959111078
1,0.602322206096,0.0383975116874,0.0275113719972
2,0.602429667519,0.0212465352834,0.0276115590961
3,0.603605015674,0.0437308732752,0.0287073450864
4,0.605041557305,0.0931129050978,0.0300466437334
5,0.606867071153,0.040449332862,0.0317485841255
6,0.607262615523,0.0826318104397,0.0321173531386
7,0.607444833986,0.0361180481479,0.0322872367923
8,0.610572207084,0.040886305741,0.0352029104271
9,0.610911270983,0.320347325022,0.0355190222691
10,0.61119807345,0.0222700436207,0.0357864103822
11,0.614143842115,0.0398998068574,0.0385327728281
12,0.617047737492,0.025208467285,0.0412400964904
13,0.617164056959,0.189088795693,0.0413485420108
14,0.617856696261,0.0321222511107,0.04199429488
15,0.618266098722,0.0394272446014,0.0423759838964
16,0.619068413392,0.0355487588822,0.0431239879422
17,0.619259494677,0.113979100208,0.043302134472
18,0.620539599652,0.0273842293399,0.0444955860393
19,0.620572916667,0.09513978577,0.0445266477449
20,0.620647045608,0.0714886090055,0.0445957587182
21,0.62146263911,0.0316756410707,0.0453561427197
22,0.621536979041,0.0235428863117,0.0454254504007
23,0.622208563819,0.039005069959,0.0460515739777
24,0.622454848729,0.0644669013678,0.0462811872653
25,0.623393316195,0.0147549931614,0.0471561275945
26,0.623465947404,0.0423937563782,0.0472238422209
27,0.62361516035,0.0345536710953,0.047362954581
28,0.623867981485,0.0672034214354,0.0475986616408
29,0.623958507613,0.045972384646,0.0476830598358
30,0.624044292117,0.0470532314806,0.0477630373789
31,0.624851759125,0.0117685486605,0.0485158449885
32,0.626815642458,0.0229857202482,0.0503467882998
33,0.629577548006,0.0316099716531,0.0529217337687
34,0.634731857725,0.0146870339053,0.057727135773
35,0.63768115942,0.070112702323,0.0604767920895
36,0.637880010761,0.0740315717192,0.0606621827014
37,0.638500446296,0.0600797171327,0.0612406194516
38,0.642561533435,0.0792820717934,0.0650268017614
39,0.642876380285,0.0178174899817,0.0653203358652
40,0.64351523742,0.0629679461377,0.0659159472127
41,0.644023852735,0.192412457761,0.0663901331245
42,0.64406779661,0.10558706496,0.0664311023321
43,0.644476209924,0.0613702658426,0.0668118691593
44,0.644830629285,0.0341582255761,0.0671422970149
45,0.645567391496,0.125349881472,0.0678291860065
46,0.647032673928,0.0379230253642,0.0691952799201
47,0.647980214345,0.0671051040667,0.0700786790302
48,0.649130461884,0.0295227365731,0.071151063526
49,0.649269993463,0.0598397523064,0.0712811498743
50,0.652595700052,0.0692432160958,0.0743817313255
51,0.654153569825,0.124345770058,0.0758341451186
52,0.654440612398,0.0438634516495,0.0761017570842
53,0.654837446142,0.0218116279086,0.0764717281905
54,0.656779661017,0.22074595048,0.0782824698343
55,0.65697465719,0.0218819334266,0.0784642662438
56,0.657163654009,0.0558751593421,0.0786404694102
57,0.657929948839,0.0207888065869,0.0793548918862
58,0.657987470634,0.0729143346444,0.0794085198916
59,0.65821019033,0.0596187736409,0.0796161631516
60,0.658792650919,0.0872002419691,0.080159195572
61,0.663457571173,0.0265926855132,0.08450833607
62,0.663469607961,0.029683742348,0.0845195580587
63,0.669289402508,0.0345991958029,0.0899453966104
64,0.669764426194,0.0870832560692,0.090388264792
65,0.669825659365,0.027369553339,0.0904453529413
66,0.669978979553,0.0714017955692,0.0905882945142
67,0.670383586084,0.178584483284,0.0909655122487
68,0.670472820843,0.0214933078819,0.0910487064906
69,0.673833412964,0.219450720588,0.0941818119876
70,0.675126903553,0.055103293955,0.0953877430643
71,0.675804650218,0.0688101186169,0.0960196114152
72,0.677323190789,0.0368428934383,0.0974353582953
73,0.681279620853,0.0453177849187,0.101123968021
74,0.681924882629,0.088946637461,0.101725550464
75,0.682029296177,0.0435149741639,0.101822896006
76,0.682926829268,0.121883637972,0.102659672907
77,0.683900226757,0.150972711446,0.103567178761
78,0.684126420455,0.0593306280421,0.10377806086
79,0.685376078915,0.0615336912023,0.10494312691
80,0.686105111591,0.252470552109,0.105622809598
81,0.689215474389,0.0686609510152,0.108522624401
82,0.69010989011,0.0820022592982,0.109356494955
83,0.690398254228,0.0971831763643,0.109625339007
84,0.691142191142,0.0604773204694,0.110318917028
85,0.691230036425,0.126461951292,0.110400815851
86,0.696258719087,0.254289533745,0.115089094799
87,0.696403549743,0.0520741961452,0.115224121517
88,0.698091263597,0.0723055880797,0.11679758993
89,0.699138148845,0.111441696227,0.117773608979
90,0.699346405229,0.080497349713,0.117967767984
91,0.699469118218,0.0787691561273,0.118082174233
92,0.706645782054,0.143888277356,0.124773032304
93,0.710758790148,0.0781573243871,0.128607620913
94,0.711181593078,0.158702698492,0.129001803288
95,0.711392405063,0.117651008501,0.129198344899
96,0.711914267703,0.0706272219776,0.129684881393
97,0.713530812742,0.0587599131175,0.131191998581
98,0.713573472579,0.0677474072238,0.13123177067
99,0.722313631186,0.0611610370503,0.139380286762
100,0.723054331865,0.110985686441,0.140070847617
101,0.723637870313,0.154587198987,0.140614884933
102,0.723886388328,0.125352484277,0.140846580162
103,0.729246183206,0.122269209735,0.145843557537
104,0.730336413172,0.072625211834,0.146859987195
105,0.730481457385,0.153029757194,0.146995213013
106,0.733400809717,0.176592244646,0.149716947312
107,0.741154269539,0.198310359512,0.15694555665
108,0.744041450777,0.0880486739413,0.159637297594
109,0.746559088752,0.132721956855,0.161984510554
110,0.753101736973,0.229723444913,0.168084271063
111,0.758713942308,0.2027622872,0.173316572619
112,0.763758800122,0.148849611368,0.178019931783
113,0.770017035775,0.151938238955,0.1838545323
114,0.773155737705,0.123549702811,0.186780767891
115,0.777393879566,0.358718177077,0.190732019659
116,0.780390417036,0.274849445214,0.193525714247
117,0.794022960578,0.143731813141,0.206235437882
118,0.815511219559,0.180363543053,0.226269104543
119,0.816780112949,0.169275645845,0.227452103465
120,0.82894113934,0.463250205311,0.238789920511
121,0.896905184309,0.3967081623,0.302153314587
