,District,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV,EMP_UN,EMP_AL,EMP_NAL
76,476,4,3,4,2,3,3,1,0,4,3,1,1,4,1,5,2,0,0
77,477,1,1,1,4,2,1,1,0,0,3,1,1,0,2,5,3,0,0
78,478,1,1,2,4,3,3,1,0,0,0,5,2,2,2,2,1,0,0
79,479,3,3,0,0,1,2,1,0,5,3,0,1,0,1,0,0,0,2
80,480,3,3,3,1,1,1,3,0,0,0,2,2,2,2,2,2,3,0
81,481,0,0,2,2,3,3,1,0,0,0,5,2,3,1,4,2,0,0
82,482,4,3,4,2,3,2,0,2,0,4,1,1,2,4,0,0,0,0
83,483,4,1,2,2,3,0,2,2,0,4,0,5,4,1,0,0,0,0
84,484,4,0,4,2,3,0,0,3,0,1,1,5,4,0,4,0,0,0
85,485,1,4,1,3,1,0,2,3,0,0,1,0,1,2,2,0,0,0
86,486,5,2,4,0,2,2,0,0,0,1,0,5,1,1,4,0,0,0
87,487,4,2,2,4,3,3,2,2,0,4,0,1,4,0,4,0,0,0
88,488,5,4,4,2,0,0,0,3,0,4,0,5,4,1,0,2,0,0
89,489,3,1,0,2,3,3,2,4,4,3,0,3,3,2,2,0,1,3
90,490,0,3,4,2,3,1,2,2,3,1,0,5,2,1,0,2,0,0
91,491,0,1,4,0,3,2,0,1,0,1,3,3,1,0,4,1,3,0
92,492,5,2,3,4,2,0,2,1,3,1,0,5,4,0,0,2,0,0
93,493,0,3,4,4,2,1,0,2,0,1,3,0,4,1,0,0,0,0
94,497,0,4,2,0,2,2,0,3,0,1,0,5,4,4,0,0,0,0
95,498,4,4,2,0,3,2,0,3,0,4,0,5,4,1,0,0,0,0
96,499,4,4,2,0,3,0,0,0,0,0,2,2,4,1,0,0,0,0
97,500,4,4,2,2,1,1,0,3,0,3,0,2,4,0,4,0,0,0
98,501,4,3,2,0,3,0,0,0,0,0,2,2,0,4,5,1,0,0
99,502,0,2,2,2,3,2,0,3,0,4,2,2,4,1,0,0,0,0
100,503,1,3,3,4,3,3,2,1,3,3,3,0,3,0,2,1,0,1
101,504,0,4,2,2,3,2,0,1,0,0,1,2,4,1,0,0,0,0
102,505,0,3,4,0,1,2,0,1,0,1,0,5,1,0,4,0,0,0
103,506,4,3,2,0,3,0,0,2,0,0,1,1,3,1,0,0,0,0
104,507,3,4,0,3,1,2,0,4,0,3,0,1,4,0,4,2,0,0
105,508,3,4,4,3,1,0,0,1,3,4,0,1,4,4,0,2,2,0
106,509,4,1,2,2,3,0,0,3,0,1,3,1,4,1,0,2,0,0
107,510,4,2,2,2,2,0,0,1,0,4,0,1,4,1,0,0,0,0
108,511,0,2,4,0,3,2,3,0,0,1,2,1,1,1,0,0,0,0
109,512,0,4,2,0,1,2,0,1,0,4,2,2,4,1,0,0,0,0
110,513,4,2,2,4,3,1,0,3,0,1,2,1,0,1,0,1,2,3
111,514,5,2,2,0,0,0,3,0,0,1,3,2,1,1,0,2,3,0
112,515,5,4,3,0,0,2,0,3,3,1,2,3,4,0,4,0,0,0
113,516,5,4,4,0,3,2,2,2,3,4,0,1,4,1,0,0,0,0
114,517,4,0,2,4,2,0,2,3,0,1,2,2,1,2,1,0,3,1
115,520,1,1,0,0,0,1,2,3,3,4,2,5,4,2,2,1,0,0
116,521,1,3,3,0,0,2,0,0,3,1,2,5,1,0,4,3,0,1
117,522,0,1,4,0,3,0,0,0,0,1,2,1,4,1,0,0,0,0
118,523,4,4,2,0,3,2,0,0,0,0,0,5,4,1,0,0,0,0
119,524,4,1,2,3,1,0,0,0,0,3,0,2,3,1,0,0,0,0
120,525,4,3,2,2,2,1,3,0,0,4,0,3,3,1,0,0,0,0
121,526,4,1,2,0,3,1,0,3,0,4,3,0,1,1,0,0,0,0
122,527,4,1,4,2,3,0,0,0,0,1,1,5,4,0,4,2,0,0
123,528,3,1,3,2,3,0,0,1,0,1,1,5,1,1,0,2,0,0
124,529,1,1,1,0,3,0,2,0,3,3,0,0,0,4,5,0,0,0
125,530,0,3,3,0,3,2,0,3,0,4,2,2,1,0,4,0,0,0
126,531,5,1,4,1,1,2,0,0,3,1,0,5,1,0,4,0,0,0
127,555,5,0,3,0,3,2,2,3,0,3,0,5,3,1,0,2,0,0
128,556,4,5,2,0,3,2,0,3,0,4,2,2,1,1,0,0,0,0
129,557,0,5,4,0,1,0,1,0,0,3,1,1,3,0,4,2,0,0
130,558,1,5,0,3,1,3,1,0,0,3,1,1,2,0,4,0,0,0
131,559,0,2,2,0,3,2,0,1,0,4,0,5,4,1,0,0,0,0
132,560,4,0,2,1,1,1,0,1,0,4,1,1,0,2,2,0,0,0
133,561,3,5,0,1,3,1,0,3,2,1,2,2,3,2,2,0,0,0
134,562,4,1,2,3,3,1,3,0,3,4,2,2,3,2,2,0,0,0
135,563,0,1,4,0,3,1,0,0,3,4,2,1,0,1,0,2,4,2
136,564,4,0,2,1,3,1,3,2,2,4,1,1,2,2,2,2,0,0
137,565,0,0,4,0,3,1,0,1,0,1,1,1,2,0,1,0,0,0
138,566,4,0,4,0,2,2,3,0,0,3,3,2,0,4,1,0,0,0
139,567,4,3,4,1,1,1,0,0,0,3,1,0,4,1,0,0,0,0
140,568,0,2,3,0,1,0,0,3,0,1,1,5,4,0,4,0,0,0
141,569,5,0,3,0,3,1,2,4,3,0,4,2,2,0,4,1,3,1
142,570,0,0,1,2,3,1,0,0,0,1,2,5,3,1,0,2,0,2
143,571,3,1,3,2,3,1,0,2,0,0,0,5,4,1,0,0,0,0
144,572,3,2,0,1,1,2,0,0,0,0,2,2,2,2,2,1,0,0
145,573,0,0,2,2,1,0,0,1,0,4,1,1,3,1,5,0,0,0
146,574,4,0,4,1,3,3,0,0,0,1,3,2,0,0,4,0,0,0
147,575,2,1,4,0,0,3,0,4,0,4,0,1,2,0,4,3,1,0
148,576,0,1,4,2,3,0,0,4,0,3,1,5,3,1,0,2,0,0
149,577,0,0,4,3,1,0,0,1,0,3,1,1,0,0,4,0,0,0
150,578,4,0,2,4,1,0,0,1,1,0,2,2,4,2,1,0,0,3
151,579,4,5,2,0,3,0,1,0,0,0,0,5,4,0,4,2,0,0
152,580,3,3,0,4,2,3,0,3,0,4,0,1,0,1,0,2,0,0
153,581,0,0,4,1,1,2,0,1,0,4,1,1,4,1,0,2,0,0
154,582,0,2,4,4,2,3,0,3,0,1,1,1,4,2,1,0,0,0
155,583,5,4,4,1,1,2,0,3,0,4,2,2,1,2,2,2,0,0
156,584,4,0,2,0,0,2,0,1,0,0,0,2,3,1,1,2,0,0
157,588,2,1,4,0,0,2,0,4,3,2,4,4,2,3,4,2,1,0
158,589,2,4,4,0,0,2,0,4,0,2,4,4,2,3,3,3,1,1
159,590,2,2,0,3,1,2,1,4,1,2,4,4,2,2,2,0,4,3
160,591,2,2,0,2,3,2,0,4,5,2,4,4,2,4,5,2,1,2
161,592,2,0,1,3,1,2,1,4,5,2,4,4,2,3,3,1,1,0
162,593,3,0,0,1,1,1,3,4,4,1,4,5,2,2,2,2,2,3
163,594,2,3,3,0,0,2,0,4,3,0,1,2,2,3,3,2,1,2
164,595,2,4,1,1,1,2,1,4,1,3,4,0,2,1,5,0,1,3
165,596,0,4,2,0,2,2,3,4,2,0,4,2,2,1,0,0,0,0
166,597,2,3,3,0,0,2,2,4,3,4,4,1,2,3,3,3,1,1
167,598,2,1,4,0,3,2,0,4,0,3,1,5,2,3,3,1,1,0
168,599,2,4,2,1,1,2,2,4,4,4,4,1,2,3,3,1,1,0
169,600,2,3,3,0,3,2,2,4,3,4,4,1,2,3,3,3,1,1
170,601,2,1,4,0,3,2,0,4,0,1,1,1,2,3,3,3,1,1
