STATE,NAME,District,EMP_2011,EMP_2001,MSW_2011,MSW_2001,BF_2011,BF_2001,MSL_2011,MSL_2001,FC_2011,FC_2001,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,EMP_change,MSW_change,BF_change,MSL_change,FC_change,CHH_change,F_EMP_change,Asset_2001,Asset_2011,Asset_Change
5,Bageshwar,63,2,2,3,3,2,1,3,2,1,1,3,3,3,1,2,2,3,3,2,2,1,1,2,3
5,Almora,64,2,2,3,3,3,1,3,2,1,1,3,3,3,1,2,2,3,3,2,2,1,1,2,3
5,Champawat,65,1,1,3,3,1,1,3,2,1,1,2,3,3,1,2,2,2,3,2,1,1,1,2,3
5,Nainital,66,1,1,3,3,3,2,3,2,3,3,3,3,2,1,2,2,3,3,2,2,1,2,3,3
5,Udham Singh Nagar,67,1,1,2,2,3,2,3,2,1,1,2,2,1,1,2,2,3,3,2,2,2,2,3,3
5,Hardwar,68,3,1,2,2,3,2,3,2,3,2,2,2,1,1,3,2,3,3,3,2,2,2,3,3
6,Panchkula,69,3,3,3,3,3,2,3,3,3,3,3,2,1,1,2,2,3,2,2,3,2,3,3,2
6,Ambala,70,3,3,3,3,3,2,3,3,3,3,2,2,1,1,2,2,3,2,2,2,2,3,3,2
6,Yamunanagar,71,3,3,3,2,3,2,3,3,3,3,2,2,1,1,2,3,3,2,2,2,2,2,3,3
6,Kurukshetra,72,1,1,3,3,3,2,3,3,3,3,2,2,1,1,2,2,3,2,2,2,2,3,3,2
6,Kaithal,73,1,1,3,2,2,1,3,3,2,2,2,2,2,1,2,3,3,2,2,2,1,2,3,3
6,Karnal,74,1,1,3,2,3,2,3,3,3,3,2,2,1,1,2,3,3,2,2,2,2,2,3,3
6,Panipat,75,3,3,3,2,3,2,3,3,3,3,2,1,2,1,2,3,3,2,2,3,1,2,3,3
6,Sonipat,76,1,1,3,2,3,1,3,3,3,3,2,2,2,1,2,3,3,2,2,2,1,2,3,3
6,Jind,77,1,2,3,2,2,1,3,3,2,2,2,2,2,1,1,3,3,2,2,2,1,2,3,3
6,Fatehabad,78,1,2,3,2,2,2,3,3,2,2,2,2,2,1,1,3,2,2,2,2,1,1,3,3
6,Sirsa,79,1,2,3,3,2,2,3,3,2,2,2,2,2,1,1,2,2,2,2,2,1,2,3,3
6,Hisar,80,1,2,3,3,2,2,3,3,2,2,2,2,2,1,1,2,2,2,2,2,1,2,3,3
6,Bhiwani,81,1,1,3,3,2,1,3,3,2,2,2,2,3,1,2,2,3,2,2,2,1,1,2,3
6,Rohtak,82,3,1,3,1,3,2,3,3,3,3,2,2,2,1,3,3,3,2,2,2,1,2,3,3
6,Jhajjar,83,1,1,3,2,3,1,3,3,3,2,2,1,2,1,2,3,3,2,3,3,1,2,3,3
6,Mahendragarh,84,1,1,3,3,1,1,3,3,2,2,2,2,3,1,2,2,2,2,2,2,1,1,2,3
6,Rewari,85,3,1,3,3,3,1,3,3,2,2,2,2,3,1,3,2,3,2,2,2,1,2,3,3
6,Gurgaon,86,3,3,3,3,3,1,3,2,3,3,2,2,2,1,2,2,3,3,2,2,1,2,3,3
6,Faridabad,88,3,3,3,3,3,2,3,3,3,3,2,2,1,1,2,2,3,2,2,2,2,2,3,3
7,North West ,90,3,3,3,3,3,2,3,3,3,3,3,2,1,1,2,2,3,2,2,3,2,3,3,2
7,North,91,3,3,3,3,3,3,3,3,3,3,2,2,1,1,2,2,2,2,2,2,2,3,3,2
7,North East,92,3,3,3,3,3,2,3,3,3,3,3,2,1,1,2,2,3,2,2,3,2,3,3,2
7,East,93,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,3,3,2
7,New Delhi,94,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,2,2,2,3,2,3,3,2
7,Central,95,3,3,3,3,3,3,3,3,3,3,2,2,1,1,2,2,2,2,2,2,2,3,3,2
7,West,96,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,2,2,2,3,2,3,3,2
7,South West,97,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,3,3,2
7,South,98,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,2,2,2,3,2,3,3,2
8,Ganganagar,99,2,1,3,3,2,2,3,2,2,2,2,2,2,1,3,2,2,3,2,2,1,2,2,2
8,Hanumangarh,100,2,2,3,3,2,2,3,2,2,1,3,2,2,1,2,2,2,3,3,3,1,1,2,3
8,Bikaner,101,2,1,3,3,1,1,2,2,1,2,2,2,2,1,3,2,2,2,1,2,1,1,2,3
8,Churu,102,2,2,3,3,3,1,2,2,1,1,2,2,3,1,2,2,3,2,2,2,1,1,2,3
8,Jhunjhunun,103,1,1,3,3,3,1,3,2,1,1,3,3,2,1,2,2,3,3,2,2,1,1,2,3
8,Alwar,104,2,2,2,2,1,1,3,2,2,2,2,2,3,1,2,2,2,3,2,2,1,1,2,3
8,Bharatpur,105,2,2,2,1,1,1,2,2,2,2,2,1,2,1,2,3,2,2,2,3,1,1,2,3
8,Dhaulpur,106,2,2,2,1,1,1,2,1,2,2,1,1,3,1,2,3,2,3,2,2,1,1,1,2
8,Karauli,107,2,2,2,1,1,1,2,1,2,2,1,1,3,1,2,3,2,3,2,2,1,1,1,2
8,Sawai Madhopur,108,2,2,2,1,1,1,2,2,2,2,2,2,3,1,2,3,2,2,2,2,1,1,2,3
8,Dausa,109,2,2,2,1,1,1,2,2,1,1,2,2,3,1,2,3,2,2,2,2,1,1,2,3
8,Jaipur,110,3,3,3,3,3,2,3,3,3,3,3,2,2,1,2,2,3,2,2,3,1,2,3,3
8,Sikar,111,1,1,3,3,1,1,3,2,1,1,3,2,2,1,2,2,2,3,2,3,1,1,2,3
8,Nagaur,112,2,2,1,1,1,1,2,2,1,1,2,2,3,1,2,2,2,2,2,2,1,1,2,3
8,Jodhpur,113,1,1,1,3,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,3
8,Jaisalmer,114,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,3,2,2,1,1,1,2
8,Barmer,115,2,2,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,2
8,Jalor,116,2,2,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,3,2,2,1,1,1,2
8,Sirohi,117,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,3
8,Pali,118,1,1,1,1,1,1,3,2,1,1,2,2,2,1,2,2,2,3,2,2,1,1,2,3
8,Ajmer,119,3,1,3,3,1,1,3,2,1,1,2,2,2,1,3,2,2,3,2,2,1,1,2,3
8,Tonk,120,2,2,2,1,1,1,2,2,1,1,2,2,3,1,2,3,2,2,2,2,1,1,2,3
8,Bundi,121,2,2,2,2,1,1,2,2,1,1,2,1,3,1,2,2,2,2,2,3,1,1,2,3
8,Bhilwara,122,2,2,2,2,1,1,3,2,1,1,2,2,3,1,2,2,2,3,2,2,1,1,2,3
8,Rajsamand,123,2,1,2,2,1,1,3,2,1,1,2,1,2,1,3,2,2,3,2,3,1,1,2,3
8,Dungarpur,124,1,2,2,2,1,1,2,1,1,1,1,1,3,1,1,2,2,3,2,2,1,1,1,2
8,Banswara,125,2,2,2,2,1,1,1,1,1,1,1,1,3,1,2,2,2,2,2,2,1,1,1,2
8,Chittaurgarh,126,2,2,2,2,1,1,3,2,1,1,2,1,3,1,2,2,2,3,2,3,1,1,2,3
8,Kota,127,3,3,3,3,3,1,3,3,3,2,3,2,1,1,2,2,3,2,3,3,2,2,3,3
8,Baran,128,2,2,2,2,1,1,2,2,1,2,2,2,3,1,2,2,2,2,1,2,1,1,2,3
8,Jhalawar,129,2,2,2,2,1,1,3,2,1,1,1,2,3,1,2,2,2,3,2,1,1,1,2,3
8,Udaipur,130,1,1,2,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,3,1,1,1,2
9,Saharanpur,132,1,1,2,2,3,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,1,2,3
9,Muzaffarnagar,133,1,1,2,2,3,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,1,2,3
9,Bijnor,134,1,1,2,2,3,2,2,2,1,2,2,2,1,1,2,2,3,2,1,2,2,1,2,3
9,Moradabad,135,1,1,2,2,3,2,1,1,2,2,1,1,1,1,2,2,3,2,2,2,2,1,2,3
9,Rampur,136,1,1,2,2,3,2,1,1,2,2,1,1,1,1,2,2,3,2,2,2,2,1,2,3
9,Jyotiba Phule Nagar,137,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,3
