,Mid,Dist_Density,National_Density,Cum_Dist_Density
175,3510.0,1.29609882382e-05,1.83407895828e-06,0.0499278264117
176,3530.0,9.99816433703e-09,2.18303354495e-06,0.0499278364099
177,3550.0,9.99816433703e-09,1.99269467949e-06,0.049927846408
178,3570.0,2.59119783121e-05,2.02441782374e-06,0.0499537583863
179,3590.0,9.99816433703e-09,1.5485706601e-06,0.0499537683845
180,3610.0,9.99816433703e-09,1.16789292919e-06,0.0499537783827
181,3630.0,9.99816433703e-09,1.13616978495e-06,0.0499537883808
182,3650.0,9.99816433703e-09,1.26306236192e-06,0.049953798379
183,3670.0,9.99816433703e-09,1.43753965525e-06,0.0499538083772
184,3690.0,9.99816433703e-09,1.23133921767e-06,0.0499538183753
185,3710.0,9.99816433703e-09,1.0251387801e-06,0.0499538283735
186,3730.0,9.99816433703e-09,9.93415635855e-07,0.0499538383716
187,3750.0,1.29609882382e-05,9.61692491613e-07,0.0499667993599
188,3770.0,9.99816433703e-09,8.98246203128e-07,0.0499668093581
189,3790.0,9.99816433703e-09,8.66523058885e-07,0.0499668193562
190,3810.0,9.99816433703e-09,9.61692491613e-07,0.0499668293544
191,3830.0,9.99816433703e-09,8.82384631006e-07,0.0499668393525
192,3850.0,9.99816433703e-09,8.34799914642e-07,0.0499668493507
193,3870.0,9.99816433703e-09,7.23768909794e-07,0.0499668593489
194,3890.0,9.99816433703e-09,8.18938342521e-07,0.049966869347
195,3910.0,9.99816433703e-09,7.39630481915e-07,0.0499668793452
196,3930.0,9.99816433703e-09,8.030767704e-07,0.0499668893434
197,3950.0,9.99816433703e-09,9.2996934737e-07,0.0499668993415
198,3970.0,9.99816433703e-09,6.44461049187e-07,0.0499669093397
199,3990.0,9.99816433703e-09,7.07907337672e-07,0.0499669193379
200,4010.0,9.99816433703e-09,7.87215198279e-07,0.049966929336
201,4030.0,9.99816433703e-09,8.50661486764e-07,0.0499669393342
202,4050.0,9.99816433703e-09,8.34799914642e-07,0.0499669493324
203,4070.0,9.99816433703e-09,8.50661486764e-07,0.0499669593305
204,4090.0,9.99816433703e-09,8.50661486764e-07,0.0499669693287
205,4110.0,9.99816433703e-09,7.07907337672e-07,0.0499669793268
206,4130.0,9.99816433703e-09,6.28599477066e-07,0.049966989325
207,4150.0,9.99816433703e-09,6.60322621309e-07,0.0499669993232
208,4170.0,9.99816433703e-09,7.07907337672e-07,0.0499670093213
209,4190.0,9.99816433703e-09,4.06537467368e-07,0.0499670193195
