,Mid,Dist_Density,National_Density,Cum_Dist_Density
0,10.0,0.0125566977733,0.013084220841,0.0125566977733
1,30.0,0.00138937211107,0.00245297040357,0.0139460698844
2,50.0,0.00120587145465,0.00198746498496,0.015151941339
3,70.0,0.00150733681877,0.00181357456979,0.0166592781578
4,90.0,0.00140247930082,0.00164250751446,0.0180617574586
5,110.0,0.00138937211107,0.00144518955728,0.0194511295697
6,130.0,0.00103547798797,0.00135114629617,0.0204866075576
7,150.0,0.00110101393669,0.0012897937352,0.0215876214943
8,170.0,0.00102237079823,0.00119497325706,0.0226099922926
9,190.0,0.000904406090528,0.0011644555923,0.0235143983831
10,210.0,0.000943727659761,0.00106996820718,0.0244581260429
11,230.0,0.000956834849505,0.00101491269034,0.0254149608924
12,250.0,0.000996156418739,0.00095671658223,0.0264111173111
13,270.0,0.000707798244362,0.000884324367069,0.0271189155555
14,290.0,0.000917513280272,0.000845384207511,0.0280364288357
15,310.0,0.000838870141806,0.00079662573481,0.0288752989775
16,330.0,0.000707798244362,0.000753006411477,0.0295830972219
17,350.0,0.000734012623851,0.000720172957186,0.0303171098458
18,370.0,0.000825762952061,0.000728167189535,0.0311428727978
19,390.0,0.000589833536662,0.000651603380906,0.0317327063345
20,410.0,0.000589833536662,0.000612821837069,0.0323225398711
21,430.0,0.000838870141806,0.000595374107736,0.0331614100129
22,450.0,0.000445654449474,0.000566696385341,0.0336070644624
23,470.0,0.00052429758794,0.000537146276479,0.0341313620504
24,490.0,0.000681583864873,0.00052085644191,0.0348129459152
25,510.0,0.000655369485384,0.000496540651848,0.0354683154006
26,530.0,0.00064226229564,0.000468449807621,0.0361105776963
27,550.0,0.000629155105895,0.000440501717544,0.0367397328022
28,570.0,0.00064226229564,0.00042410085197,0.0373819950978
29,590.0,0.000629155105895,0.000411205393836,0.0380111502037
30,610.0,0.000458761639218,0.000398056150547,0.0384699118429
31,630.0,0.000367011311008,0.000373692775769,0.0388369231539
32,650.0,0.000406332880241,0.000360321470471,0.0392432560342
33,670.0,0.000445654449474,0.000334831924072,0.0396889104836
34,690.0,0.000563619157174,0.000312181599083,0.0402525296408
35,710.0,0.000327689741774,0.00031357741743,0.0405802193826
36,730.0,0.000275260982797,0.00031492565106,0.0408554803654
37,750.0,0.000367011311008,0.000290657445714,0.0412224916764
38,770.0,0.00031458255203,0.000276128245651,0.0415370742284
39,790.0,0.000367011311008,0.000266436825085,0.0419040855394
40,810.0,0.000275260982797,0.000250702145541,0.0421793465222
41,830.0,0.000380118500752,0.000236125360761,0.042559465023
42,850.0,0.00031458255203,0.000228289744133,0.042874047575
43,870.0,0.00019661784433,0.000223531272497,0.0430706654193
44,890.0,0.000275260982797,0.000213792267215,0.0433459264021
45,910.0,0.000367011311008,0.000202181596422,0.0437129377131
46,930.0,0.000275260982797,0.000193473593327,0.0439881986959
47,950.0,0.000170403464842,0.000185241437396,0.0441586021608
48,970.0,0.000170403464842,0.000174471429926,0.0443290056256
49,990.0,0.000117974705864,0.000175105892811,0.0444469803315
50,1010.0,7.86531366307e-05,0.000169046772261,0.0445256334681
51,1030.0,6.55459468863e-05,0.000160862201046,0.044591179415
52,1050.0,0.000131081895608,0.000146364724127,0.0447222613106
53,1070.0,0.00010486751612,0.000137307766446,0.0448271288267
54,1090.0,0.000131081895608,0.000141844176073,0.0449582107223
55,1110.0,0.000157296275097,0.000130915552881,0.0451155069974
56,1130.0,3.93315673975e-05,0.00012058966943,0.0451548385648
57,1150.0,0.000117974705864,0.000121985487777,0.0452728132707
58,1170.0,0.000144189085353,0.000120478638425,0.045417002356
59,1190.0,0.000144189085353,0.000112262344066,0.0455611914414
60,1210.0,0.00010486751612,0.000107519734002,0.0456660589575
61,1230.0,9.17603263751e-05,0.000105267390761,0.0457578192839
62,1250.0,0.000131081895608,0.000101032351005,0.0458889011795
63,1270.0,9.17603263751e-05,9.65276645222e-05,0.0459806615059
64,1290.0,6.55459468863e-05,8.88030788991e-05,0.0460462074528
65,1310.0,5.24387571419e-05,8.62810889319e-05,0.0460986462099
66,1330.0,0.000131081895608,8.03171378143e-05,0.0462297281055
67,1350.0,0.000144189085353,7.8318579727e-05,0.0463739171909
68,1370.0,7.86531366307e-05,7.56538356106e-05,0.0464525703275
69,1390.0,6.55459468863e-05,7.06257172482e-05,0.0465181162744
70,1410.0,3.93315673975e-05,6.74851259682e-05,0.0465574478418
71,1430.0,6.55459468863e-05,6.11722202639e-05,0.0466229937887
72,1450.0,1.31171879087e-05,6.12198049803e-05,0.0466361109766
73,1470.0,2.62243776531e-05,5.98557097778e-05,0.0466623353542
74,1490.0,0.00010486751612,5.57317010263e-05,0.0467672028703
75,1510.0,0.000170403464842,5.18614774287e-05,0.0469376063352
76,1530.0,6.55459468863e-05,5.41772669584e-05,0.0470031522821
77,1550.0,9.17603263751e-05,4.89429481584e-05,0.0470949126084
78,1570.0,9.17603263751e-05,4.78009149657e-05,0.0471866729348
79,1590.0,2.62243776531e-05,4.17576559875e-05,0.0472128973125
80,1610.0,7.86531366307e-05,4.07266537996e-05,0.0472915504491
81,1630.0,3.93315673975e-05,3.79508786784e-05,0.0473308820165
82,1650.0,2.62243776531e-05,3.66978144808e-05,0.0473571063942
83,1670.0,9.17603263751e-05,3.22565742869e-05,0.0474488667205
84,1690.0,3.93315673975e-05,3.17965886953e-05,0.0474881982879
85,1710.0,6.55459468863e-05,3.06545555026e-05,0.0475537442348
86,1730.0,5.24387571419e-05,3.03056009159e-05,0.047606182992
87,1750.0,5.24387571419e-05,2.91952908675e-05,0.0476586217491
